día,jornada,team,points,total_points,rank,variation
2023-07-16,Jornada 11,Porcinos FC,3,28,1,0
2023-07-16,Jornada 11,Aniquiladores FC,3,23,2,0
2023-07-16,Jornada 11,El Barrio,3,20,3,2
2023-07-16,Jornada 11,xBuyer Team,1,19,4,-1
2023-07-16,Jornada 11,PIO FC,0,18,5,-1
2023-07-16,Jornada 11,1K FC,0,17,6,0
2023-07-16,Jornada 11,Kunisports,0,16,7,0
2023-07-16,Jornada 11,Jijantes FC,2,15,8,0
2023-07-16,Jornada 11,Ultimate Móstoles,3,13,9,1
2023-07-16,Jornada 11,Rayo de Barcelona,0,11,10,-1
2023-07-16,Jornada 11,Los Troncos FC,0,9,11,0
2023-07-16,Jornada 11,Saiyans FC,3,9,12,0
